event_id,date,event_type,intensity
E001,2045-01-01,asteroid_flyby,8
E002,2045-01-20,solar_flare,7
E003,2045-02-08,solar_flare,9
E004,2045-02-27,asteroid_flyby,6
E005,2045-03-18,asteroid_flyby,7
E006,2045-04-06,asteroid_flyby,9
E007,2045-04-25,asteroid_flyby,10
E008,2045-05-15,solar_flare,6
E009,2045-06-03,cosmic_storm,10
E010,2045-06-22,cosmic_storm,8
E011,2045-07-11,solar_flare,5
E012,2045-07-30,cosmic_storm,10
E013,2045-08-18,solar_flare,8
E014,2045-09-07,solar_flare,5
E015,2045-09-26,asteroid_flyby,7
E016,2045-10-15,asteroid_flyby,6
E017,2045-11-03,asteroid_flyby,10
E018,2045-11-22,cosmic_storm,10
E019,2045-12-11,asteroid_flyby,8
E020,2045-12-31,asteroid_flyby,8
